OrderID,EmployeeID,FirstName,LastName,TerritoryDescription,RegionDescription,CustomerID,CustomerName,CustomerContact,ProductID,ProductName,CategoryID,CategoryName,sell_price,Quantity,QuantityPerUnit,SupplierID,supplier_name,ShipperID,ShipperName
10411,9,Anne,Dodsworth,Troy                                              ,Northern                                          ,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,41,Jack's New England Clam Chowder,8,Seafood,7.7,25,12 - 12 oz cans,19,Boston,3,Federal Shipping
10324,9,Anne,Dodsworth,Troy                                              ,Northern                                          ,SAVEA,Save-a-lot Markets,Jose Pavarotti,16,Pavlova,3,Confections,13.9,21,32 - 500 g boxes,7,Melbourne,1,Speedy Express
10978,9,Anne,Dodsworth,Southfield                                        ,Northern                                          ,MAISD,Maison Dewey,Catherine Dewey,21,Sir Rodney's Scones,3,Confections,10,40,24 pkgs. x 4 pieces,8,Manchester,2,United Package
11058,9,Anne,Dodsworth,Southfield                                        ,Northern                                          ,BLAUS,Blauer See Delikatessen,Hanna Moos,60,Camembert Pierrot,4,Dairy Products,34,21,15 - 300 g rounds,28,Annecy,3,Federal Shipping
10687,9,Anne,Dodsworth,Hollis                                            ,Northern                                          ,HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,36,Inlagd Sill,8,Seafood,19,6,24 - 250 g  jars,17,Stockholm,2,United Package
10411,9,Anne,Dodsworth,Roseville                                         ,Northern                                          ,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,41,Jack's New England Clam Chowder,8,Seafood,7.7,25,12 - 12 oz cans,19,Boston,3,Federal Shipping
10324,9,Anne,Dodsworth,Roseville                                         ,Northern                                          ,SAVEA,Save-a-lot Markets,Jose Pavarotti,16,Pavlova,3,Confections,13.9,21,32 - 500 g boxes,7,Melbourne,1,Speedy Express
10978,9,Anne,Dodsworth,Bloomfield Hills                                  ,Northern                                          ,MAISD,Maison Dewey,Catherine Dewey,21,Sir Rodney's Scones,3,Confections,10,40,24 pkgs. x 4 pieces,8,Manchester,2,United Package
11058,9,Anne,Dodsworth,Bloomfield Hills                                  ,Northern                                          ,BLAUS,Blauer See Delikatessen,Hanna Moos,60,Camembert Pierrot,4,Dairy Products,34,21,15 - 300 g rounds,28,Annecy,3,Federal Shipping
10687,9,Anne,Dodsworth,Southfield                                        ,Northern                                          ,HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,36,Inlagd Sill,8,Seafood,19,6,24 - 250 g  jars,17,Stockholm,2,United Package
10411,9,Anne,Dodsworth,Hollis                                            ,Northern                                          ,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,44,Gula Malacca,2,Condiments,15.5,40,20 - 2 kg bags,20,Singapore,3,Federal Shipping
10324,9,Anne,Dodsworth,Hollis                                            ,Northern                                          ,SAVEA,Save-a-lot Markets,Jose Pavarotti,35,Steeleye Stout,1,Beverages,14.4,70,24 - 12 oz bottles,16,Bend,1,Speedy Express
10978,9,Anne,Dodsworth,Minneapolis                                       ,Northern                                          ,MAISD,Maison Dewey,Catherine Dewey,21,Sir Rodney's Scones,3,Confections,10,40,24 pkgs. x 4 pieces,8,Manchester,2,United Package
11058,9,Anne,Dodsworth,Minneapolis                                       ,Northern                                          ,BLAUS,Blauer See Delikatessen,Hanna Moos,60,Camembert Pierrot,4,Dairy Products,34,21,15 - 300 g rounds,28,Annecy,3,Federal Shipping
10687,9,Anne,Dodsworth,Bloomfield Hills                                  ,Northern                                          ,HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,36,Inlagd Sill,8,Seafood,19,6,24 - 250 g  jars,17,Stockholm,2,United Package
10411,9,Anne,Dodsworth,Southfield                                        ,Northern                                          ,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,44,Gula Malacca,2,Condiments,15.5,40,20 - 2 kg bags,20,Singapore,3,Federal Shipping
10324,9,Anne,Dodsworth,Southfield                                        ,Northern                                          ,SAVEA,Save-a-lot Markets,Jose Pavarotti,35,Steeleye Stout,1,Beverages,14.4,70,24 - 12 oz bottles,16,Bend,1,Speedy Express
10978,9,Anne,Dodsworth,Portsmouth                                        ,Northern                                          ,MAISD,Maison Dewey,Catherine Dewey,40,Boston Crab Meat,8,Seafood,18.4,10,24 - 4 oz tins,19,Boston,2,United Package
11058,9,Anne,Dodsworth,Portsmouth                                        ,Northern                                          ,BLAUS,Blauer See Delikatessen,Hanna Moos,61,Sirop d'rable,2,Condiments,28.5,4,24 - 500 ml bottles,29,Ste-Hyacinthe,3,Federal Shipping
10687,9,Anne,Dodsworth,Minneapolis                                       ,Northern                                          ,HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,36,Inlagd Sill,8,Seafood,19,6,24 - 250 g  jars,17,Stockholm,2,United Package
10411,9,Anne,Dodsworth,Bloomfield Hills                                  ,Northern                                          ,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,44,Gula Malacca,2,Condiments,15.5,40,20 - 2 kg bags,20,Singapore,3,Federal Shipping
10324,9,Anne,Dodsworth,Bloomfield Hills                                  ,Northern                                          ,SAVEA,Save-a-lot Markets,Jose Pavarotti,35,Steeleye Stout,1,Beverages,14.4,70,24 - 12 oz bottles,16,Bend,1,Speedy Express
10978,9,Anne,Dodsworth,Troy                                              ,Northern                                          ,MAISD,Maison Dewey,Catherine Dewey,40,Boston Crab Meat,8,Seafood,18.4,10,24 - 4 oz tins,19,Boston,2,United Package
11058,9,Anne,Dodsworth,Troy                                              ,Northern                                          ,BLAUS,Blauer See Delikatessen,Hanna Moos,61,Sirop d'rable,2,Condiments,28.5,4,24 - 500 ml bottles,29,Ste-Hyacinthe,3,Federal Shipping
10705,9,Anne,Dodsworth,Portsmouth                                        ,Northern                                          ,HILAA,HILARION-Abastos,Carlos Hernndez,31,Gorgonzola Telino,4,Dairy Products,12.5,20,12 - 100 g pkgs,14,Ravenna,2,United Package
10411,9,Anne,Dodsworth,Minneapolis                                       ,Northern                                          ,BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,44,Gula Malacca,2,Condiments,15.5,40,20 - 2 kg bags,20,Singapore,3,Federal Shipping
10324,9,Anne,Dodsworth,Minneapolis                                       ,Northern                                          ,SAVEA,Save-a-lot Markets,Jose Pavarotti,35,Steeleye Stout,1,Beverages,14.4,70,24 - 12 oz bottles,16,Bend,1,Speedy Express
10978,9,Anne,Dodsworth,Roseville                                         ,Northern                                          ,MAISD,Maison Dewey,Catherine Dewey,40,Boston Crab Meat,8,Seafood,18.4,10,24 - 4 oz tins,19,Boston,2,United Package
11058,9,Anne,Dodsworth,Roseville                                         ,Northern                                          ,BLAUS,Blauer See Delikatessen,Hanna Moos,61,Sirop d'rable,2,Condiments,28.5,4,24 - 500 ml bottles,29,Ste-Hyacinthe,3,Federal Shipping
